Account #,Account Name,2021-01-31 00:00:00,2021-02-28 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,2021-05-31 00:00:00,2021-06-30 00:00:00,2021-07-31 00:00:00,2021-08-31 00:00:00,2021-09-30 00:00:00,2021-10-31 00:00:00,2021-11-30 00:00:00,2021-12-31 00:00:00,2022-01-31 00:00:00,2022-02-28 00:00:00,2022-03-31 00:00:00,2022-04-30 00:00:00,2022-05-31 00:00:00,2022-06-30 00:00:00,2022-07-31 00:00:00,2022-08-31 00:00:00,2022-09-30 00:00:00,2022-10-31 00:00:00,2022-11-30 00:00:00,2022-12-31 00:00:00,2023-01-31 00:00:00,2023-02-28 00:00:00,2023-03-31 00:00:00,2023-04-30 00:00:00,2023-05-31 00:00:00,2023-06-30 00:00:00,2023-07-31 00:00:00,2023-08-31 00:00:00,2023-09-30 00:00:00,2023-10-31 00:00:00,2023-11-30 00:00:00,2023-12-31 00:00:00
1000,Bank - CAD,81074.551352,57079.865686413206,34632.313388826435,13733.108499239646,-8742.45037434714,-46199.3243999339,-35691.68309752068,15819.742268892558,90764.40078730577,99580.17684971895,140226.17690413218,276834.6418785454,298136.9605089586,238449.81482737185,221740.9474897851,208829.96779219832,191448.16875861157,164338.17078102482,204473.01915543806,293772.7362418513,385979.2044882645,414019.72455067775,488044.159853091,704778.3024035041,759950.0528499174,697685.6560163307,704181.999670744,720982.8320531572,720830.8720115704,727328.9355139836,784186.894416397,866873.9005748102,1019936.0468372233,1069018.8686436366,1165948.8130660497,1410845.3656964628
1001,Bank - USD,10000.0,14889.9,25802.58,43997.44,63890.94,80678.74,97130.92000000001,122584.72000000002,165162.94,198423.91999999998,222514.81999999998,265788.98,297028.18,308621.08,322101.32,349700.14,382502.24,402978.33999999997,430461.74,465609.77999999997,528230.78,585577.66,616275.3,686320.26,740678.3,757400.12,776947.5,791960.5,811718.92,834327.8600000001,863787.4400000001,906802.68,958634.3,1002159.16,1056276.68,1140620.88
1002,Bank - other currencies,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
1100,Marketable securities,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0
1200,Accounts receivable - trade CAD,40000.00000000001,20427.247400000022,43938.00200000001,43209.745000000024,29178.308600000033,39204.199600000036,81225.83540000003,111252.43480000005,127411.17739999999,26023.390600000013,146083.62580000007,196719.6174,4933.197200000024,30106.86760000002,49881.98200000002,58302.407000000036,42396.937000000034,41578.78160000002,121285.21540000004,130048.52820000006,179440.11900000012,35527.64040000006,190408.74920000008,278326.18740000017,2395.6646000001347,38591.14660000013,78348.41940000012,71453.72840000014,52713.61400000015,82621.35880000016,118989.97340000019,136110.08420000016,219024.07160000002,22460.16580000019,247048.3686000001,292200.3690000002
1201,Accounts receivable - trade USD,7660.235000000001,5456.175000000001,13683.015,12738.355,15381.654999999999,9632.654999999995,15046.034999999996,18634.274999999994,32170.454999999987,9317.034999999989,23000.37499999999,28500.294999999984,10965.414999999983,8853.99499999998,12852.75499999998,22972.574999999975,18056.034999999974,10646.574999999975,25063.334999999974,18311.214999999975,52536.294999999955,13037.094999999958,25887.054999999953,52384.414999999964,10200.134999999966,14748.194999999967,13025.694999999967,10213.814999999966,17771.114999999965,13064.334999999963,24621.75499999996,26619.99499999995,33438.134999999944,18313.234999999942,44030.79499999995,48539.91499999995
1202,Accounts receivable - other,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1300,Inventory - t-shirts,101041.9717,102990.795508,106009.76715599999,109753.27051599999,112315.39007599998,114338.94464399997,118735.51344399997,125816.00329199998,135123.63762799997,139195.64582799998,147026.61545199997,160337.87157999998,161915.884852,164462.57669199997,167331.83904399996,171459.54979599995,176104.71849999996,178719.49461999995,183401.86356399997,190499.08565199998,200489.36256399998,203341.27932399997,214789.37004399998,231539.75820399995,234177.52320399994,235914.18120399993,240375.66120399992,244053.22320399992,246767.44320399992,250971.6132039999,258866.26920399992,267694.0542039999,276291.8082039999,278767.3302039999,289779.7302039999,306712.7802039999
1301,Inventory - hats,153713.743908,156185.19046800002,161265.358188,166059.74286000003,170683.80627600002,176647.384324,187087.30656400003,199835.79296400005,213961.22336400006,218174.00032400005,235593.58453200007,257954.08040400007,264302.79285200004,268292.819236,274788.655876,283221.39206800004,288070.086468,293484.44802,309458.900036,325182.018356,350537.42572400003,359506.84502,378886.75634,411974.52138000005,418456.50214800006,425294.1415080001,434131.1332200001,444185.21840400004,452860.26880400005,462877.43158000003,477258.16845999996,493791.22572399996,521948.744956,531255.303132,561752.578732,599748.6132919999
1400,Prepaid supplies,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
1401,Prepaid insurance,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1402,Prepaid - other,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
1500,Other assets,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
1600,Furniture and fixtures,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0
1601,Vehicles,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
